Steps,Policy/Entropy,Environment/Lesson/AdvancedPathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.8659912,0.0,108.04242424242425,0.3272612,0.35561973,0.9455216033959094,0.9455216033959094,0.287385229461102,0.0058524692,0.41749063,0.0002995473,0.1998491,0.009984924,0.016527295,0.038215194,1.0
60000,0.9236411,0.0,274.56692913385825,0.33301178,0.31781557,0.8157503860672628,0.8157503860672628,0.8113742076505827,0.0030695568,0.4320744,0.00029865457,0.19955152,0.009955198,0.014821147,0.015655322,1.0
90000,0.92457396,0.0,229.4108527131783,0.36421964,0.37112552,0.8511685455638555,0.8511685455638555,0.7936540807169231,0.0028446927,0.44299695,0.00029776295,0.19925429,0.009925505,0.017615125,0.01828151,1.0
120000,0.8912436,0.0,196.40277777777777,0.37106052,0.3812122,0.8633778467274352,0.8633778467274352,0.7330757734497022,0.003493612,0.42520708,0.00029685907,0.19895302,0.009895408,0.017702939,0.020070167,1.0
150000,0.987789,0.0,291.74074074074076,0.26012838,0.4049984,0.7915037295598293,0.7915037295598293,1.2260380415942207,0.0041111624,0.42246452,0.00029594693,0.19864897,0.009865033,0.018007219,0.034170367,1.0
180000,0.94062203,0.0,237.77966101694915,0.32262707,0.34725666,0.8437041982131845,0.8437041982131845,0.783728122820749,0.0030639712,0.40131924,0.0002950611,0.19835368,0.009835533,0.015484673,0.016044583,1.0
210000,0.90409863,0.0,201.7051282051282,0.3208865,0.3463486,0.8375198624485376,0.8375198624485376,0.707437260335447,0.0026523944,0.44702068,0.0002941643,0.19805476,0.009805669,0.01526039,0.011130816,1.0
240000,0.9645451,0.0,207.37593984962405,0.297493,0.3616889,0.8504719382299365,0.8504719382299365,0.6932359688359199,0.002624864,0.40329328,0.0002932478,0.19774927,0.009775152,0.016368749,0.023393441,1.0
270000,1.1845615,0.0,529.1224489795918,0.086778745,0.36277285,0.5923936060292924,0.5923936060292924,1.7411876611728618,0.0016285819,0.36825377,0.0002923402,0.19744673,0.009744928,0.017379444,0.01855798,1.0
300000,1.1183239,0.0,408.44736842105266,0.14557914,0.38133803,0.6627708781934991,0.6627708781934991,1.513792815064139,0.0028346297,0.38916555,0.00029145804,0.19715264,0.009715551,0.016345723,0.012343507,1.0
330000,1.1604619,0.0,429.987012987013,0.1401068,0.3942891,0.6387057871274326,0.6387057871274326,1.775127335438046,0.0025970049,0.36872917,0.00029053658,0.19684552,0.009684868,0.01743284,0.024967689,1.0
360000,1.0189743,0.0,297.5877192982456,0.2509009,0.3789979,0.7960683716158582,0.7960683716158582,0.8712938040112838,0.006091632,0.41288665,0.00028962744,0.1965425,0.009654594,0.018695746,0.021475554,1.0
390000,1.1619478,0.0,455.60714285714283,0.1385274,0.63541013,0.6674666512100136,0.6674666512100136,4.545334556048699,0.13654242,0.39007348,0.00028874128,0.1962471,0.009625083,0.04176646,0.050233576,1.0
420000,1.1815102,0.0,391.8688524590164,0.16313808,0.46777782,0.6832549174801564,0.6832549174801564,1.891486327786943,0.0033810998,0.39141083,0.0002878721,0.19595736,0.00959614,0.01787041,0.017241193,1.0
450000,1.2082608,0.0,630.1803278688525,0.16817105,0.38580126,0.48766063715590807,0.48766063715590807,2.003489751750451,0.0016172791,0.37323567,0.0002869624,0.19565412,0.009565848,0.015683485,0.01746155,1.0
480000,1.1899402,0.0,302.2567567567568,0.2727006,0.4502739,0.8177319350134995,0.8177319350134995,0.8163091777791528,0.00598564,0.397192,0.00028606938,0.19535646,0.009536109,0.018921554,0.033842415,1.0
510000,1.1887454,0.0,467.5945945945946,0.18305941,0.4697561,0.5379675550738702,0.5379675550738702,2.298426066902844,0.0043216427,0.38480932,0.00028514542,0.19504847,0.00950534,0.022061696,0.022764547,1.0
540000,1.090726,0.0,311.9157894736842,0.24261898,0.3391347,0.7723114504090821,0.7723114504090821,0.9811145806937324,0.0027875884,0.40920144,0.00028426695,0.19475566,0.009476089,0.015639065,0.0101636825,1.0
570000,1.0716386,0.0,312.468085106383,0.26093718,0.33670154,0.7581191401373832,0.7581191401373832,1.0234369840671091,0.0026363116,0.39213997,0.00028337396,0.194458,0.009446352,0.01807843,0.023300247,1.0
600000,1.041741,0.0,341.7282608695652,0.21068554,0.3063825,0.7474802107765124,0.7474802107765124,1.0727741871397574,0.0025626072,0.37900525,0.00028246382,0.19415462,0.009416045,0.014634748,0.009371963,1.0
630000,1.1521779,0.0,521.8245614035088,0.16592441,0.2906077,0.5577930923037487,0.5577930923037487,1.6734447001383221,0.0019295695,0.40223935,0.00028154533,0.19384845,0.009385459,0.016920423,0.011151518,1.0
660000,1.1487672,0.0,420.12068965517244,0.16451024,0.35455906,0.6695051601092363,0.6695051601092363,1.5612485504163236,0.0021419646,0.39188522,0.00028067236,0.19355747,0.00935639,0.018730434,0.020344138,1.0
690000,1.1639525,0.0,695.4074074074074,0.14581032,0.33487388,0.4325666509016796,0.4325666509016796,2.3227133664337023,0.0021257799,0.36094087,0.00027977157,0.19325718,0.009326392,0.015705591,0.014127665,1.0
720000,1.1784484,0.0,480.57377049180326,0.13591921,0.31445292,0.587387710156148,0.587387710156148,1.510854992100544,0.001694317,0.37174177,0.0002788415,0.19294716,0.009295422,0.014341512,0.011361222,1.0
750000,1.2482688,0.0,383.94736842105266,0.15059657,0.31616622,0.7151861992375604,0.7151861992375604,1.0966473696432237,0.0015776473,0.37552378,0.0002779321,0.19264403,0.009265138,0.015393991,0.016385712,1.0
780000,1.2042116,0.0,559.4920634920635,0.12414594,0.31406784,0.5385092180508834,0.5385092180508834,1.649136409817192,0.0019134018,0.37414366,0.00027704544,0.19234847,0.009235611,0.014655288,0.016831668,1.0
