Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,0.32914138,0.004360577,4.0218856e-07,0.068512306,0.00029866368,0.19955456,0.0099555,4999.0,0.21572727905798025,0.21572727905798025,1.0
90000,0.4410113,0.004720261,4.9034986e-07,0.07042988,0.00029773923,0.1992464,0.009924714,None,0.27600000938400626,0.27600000938400626,1.0
120000,0.37091687,0.005943411,4.2393867e-07,0.0713425,0.0002968176,0.19893919,0.0098940255,4999.0,0.23890909743071956,0.23890909743071956,1.0
150000,0.38283417,0.005956618,4.654519e-07,0.070708305,0.00029593921,0.19864641,0.009864775,None,0.22500000626314431,0.22500000626314431,1.0
180000,0.658502,0.0045357794,3.2471894e-07,0.06914633,0.00029506366,0.19835456,0.00983562,4999.0,0.22981818700844253,0.22981818700844253,1.0
210000,0.6054047,0.0042196605,4.2432953e-07,0.07215891,0.0002941392,0.1980464,0.009804835,None,0.12700000230688602,0.12700000230688602,1.0
240000,0.3899798,0.005982585,4.6430597e-07,0.07266323,0.00029321766,0.19773921,0.009774146,4999.0,0.22300000484524804,0.22300000484524804,1.0
270000,0.40963587,0.0052211853,4.9108553e-07,0.069338,0.00029233922,0.1974464,0.009744895,None,0.22500000370200723,0.22500000370200723,1.0
300000,0.34302697,0.0049481676,4.304885e-07,0.068927765,0.00029143682,0.1971456,0.009714846,4999.0,0.2300000056433915,0.2300000056433915,1.0
330000,0.52068347,0.0055143475,4.6192923e-07,0.07052696,0.00029053923,0.19684641,0.009684956,None,0.18100000219419599,0.18100000219419599,1.0
360000,0.28473517,0.0048458003,4.4649738e-07,0.07008551,0.0002896637,0.19655457,0.009655801,4999.0,0.21018182500053875,0.21018182500053875,1.0
390000,0.23859423,0.0059103793,5.687244e-07,0.064870216,0.0002887392,0.19624639,0.009625015,None,0.18700000853277743,0.18700000853277743,1.0
420000,0.23112686,0.004250559,4.189481e-07,0.069541395,0.00028781762,0.19593921,0.009594326,4999.0,0.2438181894408031,0.2438181894408031,1.0
