Steps,Policy/Entropy,Environment/Lesson/PathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,1.5403372,0.0,0.30696008,0.88194305,0.031367745,0.074144095,0.00029983543,0.19994512,0.009994518,0.12313715,0.83763516,187.56204379562044,0.8116249874891603,0.8116249874891603,3.7802358002347103,1.0
60000,1.2964965,0.0,0.5032514,3.003315,0.082629986,0.06524565,0.000299545,0.19984834,0.009984848,0.18351343,0.28568566,134.13223140495867,0.8659586719860716,0.8659586719860716,3.903870458691573,1.0
90000,1.155792,0.0,0.64152706,5.138688,0.36816096,0.06784565,0.00029924902,0.19974968,0.009974992,0.20226745,0.13826494,69.61848341232228,0.9303120562088969,0.9303120562088969,2.155772331476775,1.0
120000,1.0515661,0.0,0.70657355,7.4096885,0.5715385,0.071718745,0.00029895545,0.19965182,0.009965214,0.2376271,0.11229607,51.46620450606586,0.9485121524582306,0.9485121524582306,1.8492623885912407,1.0
150000,1.0811622,0.0,0.57113886,7.754654,0.61624616,0.06455033,0.00029864992,0.19954996,0.00995504,0.14949529,0.14207384,78.25833333333334,0.9204657134839467,0.9204657134839467,2.5195961948377747,1.0
180000,0.65691453,0.0,0.7771748,9.181561,0.60821325,0.0697095,0.00029834587,0.1994486,0.009944915,0.15006165,0.063009046,37.805424528301884,0.9622252033534379,0.9622252033534379,1.1207906123568045,1.0
210000,0.81837445,1.0,0.68465406,8.406885,0.5425648,0.069569126,0.0002980477,0.19934924,0.009934988,0.37672442,1.0686305,67.23655913978494,0.9336890074506842,0.9336890074506842,4.330801415599224,1.0
240000,0.59447706,1.0,0.76615113,8.022589,0.1471264,0.069514535,0.00029774717,0.19924907,0.00992498,0.09045069,0.22358724,42.80562659846547,0.9565337635479965,0.9565337635479965,0.9610021246718122,1.0
270000,0.36509857,2.0,0.6896283,6.5586257,0.12963459,0.06957192,0.00029744685,0.19914895,0.0099149775,0.04151357,0.09083303,36.09214092140921,0.964199469823224,0.964199469823224,0.5004375557808738,1.0
300000,0.5290323,2.0,0.3533166,3.4909532,0.07493117,0.069550745,0.00029714592,0.19904861,0.009904957,0.030324522,0.11063458,176.09493670886076,0.6970961896018891,0.6970961896018891,1.2342305962420717,1.0
330000,0.75734675,2.0,0.46732867,2.7068312,0.048769552,0.06685501,0.00029684618,0.19894873,0.009894976,0.05191422,0.14704852,151.14655172413794,0.7507459132456472,0.7507459132456472,1.326846251288197,1.0
360000,0.8067571,2.0,0.54064494,1.9440802,0.02300155,0.07053911,0.00029655156,0.19885053,0.009885165,0.055098448,0.144575,109.85882352941177,0.8577694071566357,0.8577694071566357,1.1578234976157546,1.0
390000,0.77441895,2.0,0.6825513,2.1995716,0.01782217,0.06847635,0.0002962575,0.19875251,0.009875373,0.067091845,0.08321105,65.97598253275109,0.925286023019443,0.925286023019443,0.8917221985757351,1.0
420000,0.6485524,2.0,0.73267907,2.6768382,0.01711062,0.07234298,0.0002959535,0.19865118,0.009865252,0.058980938,0.06159019,51.16943521594684,0.9454861890753969,0.9454861890753969,0.6382632142555793,1.0
450000,0.52360344,3.0,0.80077374,2.9442103,0.0108860275,0.06987598,0.00029564806,0.19854935,0.009855081,0.04707542,0.054763008,34.02035278154681,0.9645970097095098,0.9645970097095098,0.33928818512788933,1.0
480000,0.7234402,3.0,0.6376366,2.5738423,0.022860536,0.0652288,0.00029535135,0.19845045,0.0098452,0.045126326,0.076441206,36.439473684210526,0.9635968566799039,0.9635968566799039,0.38329196814935246,1.0
510000,0.8362472,3.0,0.49890092,2.195774,0.026104415,0.07063602,0.00029504707,0.19834901,0.009835065,0.049072366,0.09603426,114.25082508250826,0.8009157149887404,0.8009157149887404,1.1506625747301906,1.0
540000,0.8166807,3.0,0.5640955,2.2089448,0.026389947,0.06907889,0.0002947432,0.19824775,0.009824947,0.05329874,0.059298307,96.71216617210682,0.8659601157798795,0.8659601157798795,1.0742865089365332,1.0
570000,0.73991776,3.0,0.61637455,1.7295842,0.012189367,0.070507035,0.00029444887,0.19814964,0.009815146,0.04622587,0.03459137,80.52551020408163,0.8913989788567533,0.8913989788567533,0.8206171528721342,1.0
600000,0.81048864,3.0,0.52850115,1.3731904,0.008767937,0.06829871,0.00029415468,0.19805157,0.009805351,0.038757674,0.035919275,83.91208791208791,0.8831047599678075,0.8831047599678075,0.7408533133088778,1.0
630000,0.6893872,3.0,0.647061,1.3180033,0.007286544,0.0697249,0.00029384886,0.19794962,0.009795166,0.036587555,0.032751072,92.85273159144893,0.8696203359174959,0.8696203359174959,0.7559238570104139,1.0
660000,0.5773231,3.0,0.73993415,1.0744063,0.005379764,0.067196384,0.00029354313,0.19784771,0.009784984,0.031780265,0.02333629,54.455373406193075,0.9350694211320483,0.9350694211320483,0.3679474369126955,1.0
690000,0.67353123,3.0,0.7009079,0.9242128,0.006505325,0.07388865,0.00029324906,0.19774964,0.009775192,0.030883355,0.033703234,54.63578947368421,0.9327663846251344,0.9327663846251344,0.3600492948282729,1.0
720000,0.763222,3.0,0.58677906,0.7937009,0.006506664,0.06910115,0.00029295404,0.19765134,0.009765369,0.031088231,0.034338653,84.5202492211838,0.8905433010878593,0.8905433010878593,0.5688325211730701,1.0
750000,0.6044893,3.0,0.69202715,0.7608743,0.0055913026,0.07240759,0.00029265723,0.19755241,0.009755487,0.02913944,0.021236595,78.88723404255319,0.8976948930545056,0.8976948930545056,0.4928487510677982,1.0
780000,0.61784065,3.0,0.7321755,0.64296746,0.004271961,0.07170317,0.0002923496,0.19744985,0.00974524,0.030077713,0.034824736,58.03006012024048,0.931945488543692,0.931945488543692,0.35753097718129895,1.0
810000,0.5654772,3.0,0.72813183,0.6120228,0.004137254,0.07155521,0.00029204483,0.19734827,0.0097350925,0.025549648,0.019441439,64.41056910569105,0.9209769530674067,0.9209769530674067,0.3707885011310072,1.0
840000,0.5031658,3.0,0.75159186,0.48442227,0.0040719607,0.07213733,0.00029174975,0.1972499,0.009725264,0.02353561,0.018211069,50.03993055555556,0.9483018897589226,0.9483018897589226,0.25231418924457466,1.0
870000,0.50529355,3.0,0.7531487,0.51324046,0.004498227,0.06781436,0.00029144774,0.19714925,0.009715211,0.022373023,0.02025181,54.246753246753244,0.9378437699293191,0.9378437699293191,0.2596579157013692,1.0
900000,0.5686029,3.0,0.7505549,0.63660145,0.0046234233,0.07107245,0.0002911452,0.19704841,0.009705136,0.02318108,0.03509919,56.07602339181287,0.9428858199795543,0.9428858199795543,0.2935338453300497,1.0
930000,0.6813082,3.0,0.7007859,0.52913123,0.00502038,0.066562675,0.00029085172,0.19695055,0.0096953595,0.027705539,0.05546462,64.41573033707866,0.9307190969753801,0.9307190969753801,0.37902373585881394,1.0
960000,0.53871924,3.0,0.731065,0.5071442,0.005072532,0.071458325,0.00029054852,0.19684951,0.009685265,0.022737825,0.016975647,60.717757009345796,0.9314495270012915,0.9314495270012915,0.30460210528755893,1.0
990000,0.45265937,3.0,0.76693845,0.40615556,0.0036890262,0.06971399,0.00029024598,0.19674869,0.009675192,0.01916469,0.010499685,47.94025157232704,0.9515984292407769,0.9515984292407769,0.20958914143561758,1.0
1020000,0.5823616,4.0,0.7331229,0.3493754,0.0036023136,0.06862413,0.00028995244,0.19665082,0.009665417,0.019313812,0.022845576,42.3426724137931,0.9561948352603502,0.9561948352603502,0.18336394125275235,1.0
1050000,0.70208365,4.0,0.60396165,0.54173887,0.0045059244,0.06945546,0.00028965485,0.1965516,0.009655507,0.021776596,0.037306,93.28,0.8851074007236295,0.8851074007236295,0.4433706430941073,1.0
1080000,0.66728294,4.0,0.66883117,0.681131,0.004851309,0.07206488,0.00028934778,0.19644925,0.009645281,0.023241485,0.036010545,79.46386946386946,0.8939231094851527,0.8939231094851527,0.3918700129637178,1.0
1110000,0.67701256,4.0,0.6889602,0.6017419,0.0045839837,0.06761058,0.00028904036,0.19634676,0.0096350415,0.022168498,0.023474172,60.626666666666665,0.9327866933959023,0.9327866933959023,0.2913786117937375,1.0
