Steps,Policy/Entropy,Environment/Lesson/AdvancedPathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.69719535,0.0,85.02643171806167,0.41917548,0.3673906,0.9595296810546966,0.9595296810546966,0.2512230878918045,0.008504423,0.4559515,0.0002995455,0.19984852,0.009984865,0.018697258,0.03852621,1.0
60000,0.8875464,0.0,253.09420289855072,0.28274423,0.45616105,0.7970949239434971,0.7970949239434971,1.059704240978412,0.047987334,0.4781542,0.00029865457,0.1995515,0.009955196,0.026179122,0.060236406,1.0
90000,0.9879151,0.0,183.8,0.2706197,0.56646794,0.8711634884396243,0.8711634884396243,1.4515868798896139,0.0077960086,0.42302057,0.00029775867,0.19925286,0.009925361,0.028899947,0.061167322,1.0
120000,0.96716934,0.0,330.03809523809525,0.24768415,0.5549856,0.7554776621530357,0.7554776621530357,1.253952924270653,0.48020077,0.41823798,0.00029685622,0.19895206,0.009895311,0.061128277,0.06710759,1.0
150000,0.9822158,0.0,265.4918032786885,0.30529884,0.5050489,0.8164376043356382,0.8164376043356382,2.778101863936545,0.0043431805,0.4124113,0.00029595543,0.19865182,0.009865316,0.01724724,0.04589837,1.0
180000,1.0395828,0.0,293.10526315789474,0.22121552,0.36360076,0.7632624938463172,0.7632624938463172,0.9448457025185538,0.002229881,0.43805233,0.00029503292,0.1983443,0.009834596,0.015120396,0.04750439,1.0
210000,0.9565574,0.0,200.8181818181818,0.27158654,0.34557405,0.86553496434972,0.86553496434972,0.6130017080064212,0.0032070011,0.4556912,0.00029412488,0.19804165,0.009804359,0.016838228,0.048951674,1.0
240000,0.980007,0.0,220.33333333333334,0.2651502,0.3483652,0.8415507002090904,0.8415507002090904,0.7285688905779955,0.0025379148,0.5045206,0.0002932369,0.19774564,0.009774788,0.015261325,0.04985363,1.0
270000,0.8680969,0.0,192.82558139534885,0.38075083,0.40242043,0.8752448229954161,0.8752448229954161,0.6653260546549085,0.00657925,0.4697753,0.00029235883,0.19745292,0.009745548,0.021061452,0.044626944,1.0
300000,0.8553109,0.0,163.87179487179486,0.3602657,0.4326032,0.9020156223326922,0.9020156223326922,0.7731287694216007,0.0041655274,0.4605773,0.00029145813,0.1971527,0.009715555,0.022123305,0.046389855,1.0
330000,1.008664,0.0,249.344,0.2766061,0.31989485,0.809511857265133,0.809511857265133,0.7533343085561389,0.0026066357,0.4724695,0.0002905675,0.19685583,0.009685898,0.014016738,0.04087453,1.0
360000,1.0064532,0.0,243.97619047619048,0.24380468,0.32242653,0.8507591953873634,0.8507591953873634,0.6255152772180737,0.0030239006,0.45938632,0.00028964112,0.19654703,0.009655047,0.013370725,0.038740728,1.0
390000,0.9735462,0.0,207.03703703703704,0.29819438,0.3363976,0.8654290755272757,0.8654290755272757,0.6131199141237753,0.0034432374,0.47093377,0.00028876305,0.19625434,0.009625808,0.013918239,0.03633365,1.0
420000,1.0409666,0.0,240.83471074380165,0.2588935,0.3968807,0.8186135537985523,0.8186135537985523,0.9188865910015874,0.0024381194,0.45495597,0.0002878595,0.19595316,0.009595721,0.017941892,0.054416254,1.0
