Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
30000,2.6450102,0.09086627,0.28133154,0.0034568706,0.07251206,0.0002995469,0.19984895,0.009984911,0.14555544,2.6173885,999.0,0.17975000406537825,0.17975000406537825,6.67627480191489,1.0
60000,2.2591045,0.038683843,1.495125,0.008188127,0.07011093,0.0002986913,0.19956377,0.009956421,0.20940304,1.5765676,999.0,0.22020000512046473,0.22020000512046473,21.703227124895367,1.0
90000,2.0051563,0.029428894,2.0528357,0.0044273254,0.066482335,0.0002977922,0.19926408,0.009926479,0.18890676,1.1788628,999.0,0.28956001229584216,0.28956001229584216,19.987832679748536,1.0
120000,1.9503316,0.068479754,4.352448,0.037537355,0.070519194,0.00029689135,0.19896379,0.00989648,0.26628664,1.4506779,999.0,0.37891429987336905,0.37891429987336905,31.915661886760166,1.0
150000,1.7095689,0.0633871,4.5035443,0.075455904,0.07303165,0.00029599218,0.19866405,0.009866541,0.29545873,1.1062256,999.0,0.44756000879220664,0.44756000879220664,38.94449831008911,1.0
180000,1.4535329,0.0454211,3.9316797,0.019213494,0.07151931,0.00029509133,0.19836377,0.009836541,0.32856423,0.6853137,999.0,0.3719142969132268,0.3719142969132268,42.28298101425171,1.0
210000,1.5842495,0.032679297,3.7117476,0.007149958,0.0712854,0.0002941922,0.19806407,0.009806599,0.34471506,0.6971053,999.0,0.28000000830739735,0.28000000830739735,37.00180230140686,1.0
240000,1.5438803,0.022688296,3.574716,0.0056441477,0.067720726,0.00029329132,0.19776377,0.0097766,0.30692458,0.6819539,999.0,0.2672285777383617,0.2672285777383617,34.323152964455744,1.0
270000,1.5568479,0.028379893,3.461697,0.008237572,0.07260667,0.00029239221,0.19746408,0.00974666,0.31338286,0.65407383,999.0,0.2806000094488263,0.2806000094488263,34.701694078445435,1.0
300000,1.5182931,0.020277038,3.6043973,0.0057579316,0.066769384,0.00029149133,0.19716378,0.00971666,0.3028314,0.72058666,999.0,0.32491429335038574,0.32491429335038574,34.030539335523336,1.0
330000,1.4883943,0.033444062,3.2184594,0.005391375,0.06933204,0.00029059217,0.19686408,0.009686719,0.29096678,0.6583375,999.0,0.3494800097029656,0.3494800097029656,31.10248010635376,1.0
360000,1.3331549,0.029362453,3.2436194,0.0068207374,0.07611574,0.00028969132,0.19656377,0.009656722,0.31516352,0.60039634,999.0,0.3539714355021715,0.3539714355021715,34.77783158847264,1.0
390000,1.2386026,0.03992519,3.6368256,0.00837809,0.06807439,0.00028879222,0.19626406,0.009626779,0.34091386,0.5265608,999.0,0.37060001365840434,0.37060001365840434,38.86550880432129,1.0
420000,1.3323233,0.045877475,3.3466077,0.005131428,0.068629555,0.0002878913,0.19596379,0.00959678,0.2755345,0.52577055,999.0,0.3460571572982839,0.3460571572982839,30.630311155319212,1.0
450000,1.3352102,0.0183657,2.9957943,0.0052333907,0.07061662,0.00028699217,0.19566408,0.00956684,0.2630883,0.59433657,999.0,0.32172001373022796,0.32172001373022796,27.975959873199464,1.0
480000,1.2352223,0.03240737,2.9610536,0.0054720216,0.06952394,0.00028609132,0.19536379,0.00953684,0.2572217,0.53861016,999.0,0.29262858120990654,0.29262858120990654,28.910360741615296,1.0
510000,1.4149905,0.03801284,3.01934,0.0048920023,0.065073326,0.00028519222,0.19506405,0.009506899,0.2701706,0.5254959,999.0,0.3230000130087137,0.3230000130087137,29.966899480819702,1.0
540000,1.4625967,0.016394516,3.1265757,0.0052097817,0.07043089,0.0002842913,0.19476378,0.0094769,0.2822743,0.5204158,999.0,0.3129142962662237,0.3129142962662237,31.33478675229209,1.0
