Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.5108701,122.6,0.24411368,0.6542915,0.8773033600509836,0.8773033600509836,0.6104728218188948,0.005721754,0.06685618,0.00029950656,0.19983552,0.009983568,0.026853828,0.018557183,1.0
60000,0.58259076,231.31034482758622,0.09917124,0.70071656,0.772599991162618,0.772599991162618,1.3816247600441178,0.0031434034,0.06931499,0.0002986485,0.1995495,0.009954995,0.020996928,0.023712007,1.0
90000,0.55080324,605.9090909090909,0.14229669,0.7376154,-0.015318211760710587,-0.015318211760710587,3.2171498527856204,0.0066226316,0.07155058,0.0002977466,0.19924887,0.009924962,0.02979073,0.027770894,1.0
120000,0.5531084,402.5111111111111,0.10381177,0.79553175,0.36143633841790934,0.36143633841790934,2.3050260614095763,0.018176433,0.06853659,0.00029683165,0.19894388,0.009894495,0.02716277,0.035399232,1.0
150000,0.54632473,525.9135802469136,0.093848586,0.9344901,0.19955607240156428,0.19955607240156428,4.543265951729221,0.03495993,0.06801219,0.00029592248,0.19864082,0.009864217,0.032959837,0.062440854,1.0
180000,0.67600733,400.55555555555554,0.17008944,0.7395662,0.4247587112680314,0.4247587112680314,2.8833579348607197,0.006451554,0.06814412,0.0002950266,0.1983422,0.009834385,0.031361043,0.037677817,1.0
210000,0.7715576,480.5945945945946,0.097271495,0.72792923,0.35718916799571065,0.35718916799571065,3.219306045841124,0.004211844,0.068302624,0.00029412314,0.19804105,0.009804299,0.024841651,0.031990618,1.0
240000,0.7016138,507.3888888888889,0.1417781,0.8099683,0.18129553024967512,0.18129553024967512,3.041808079721199,0.007813463,0.06695036,0.0002932274,0.19774248,0.009774472,0.037088085,0.031052222,1.0
270000,0.8038949,403.7049180327869,0.15876041,0.83020645,0.44868522821391216,0.44868522821391216,2.6398391545918143,0.0067806835,0.06770124,0.00029232056,0.19744019,0.0097442735,0.032266278,0.044484343,1.0
300000,0.81707835,561.1923076923077,0.09826274,0.81752944,0.15020381114803827,0.15020381114803827,4.198411480308725,0.13957289,0.07252864,0.000291445,0.19714834,0.009715118,0.03505018,0.06612503,1.0
330000,0.7204779,419.26666666666665,0.15163867,0.8800378,0.35396797945102054,0.35396797945102054,4.2005014737322925,0.039846677,0.07137714,0.00029057596,0.19685866,0.0096861785,0.038979497,0.03920529,1.0
360000,0.8540236,532.2075471698113,0.09275537,1.1066405,0.12795846628130608,0.12795846628130608,8.7175808465284,0.53783,0.07256353,0.0002896526,0.19655086,0.009655432,0.038823664,0.051779576,1.0
390000,0.87253535,555.5686274509804,0.06878315,0.8672221,0.15809997037053108,0.15809997037053108,3.78534548483789,0.005505403,0.070553064,0.00028872045,0.19624016,0.00962439,0.031085337,0.035309885,1.0
420000,0.89700484,495.75342465753425,0.12278782,0.76657397,0.22368105943944003,0.22368105943944003,2.9864380265510566,0.005553209,0.072293326,0.00028782137,0.19594046,0.009594451,0.032861333,0.040409673,1.0
450000,0.9177413,397.95238095238096,0.16862151,0.8111386,0.4114920466192185,0.4114920466192185,2.6472554658909164,0.006381857,0.0657487,0.00028692678,0.19564225,0.009564661,0.032422222,0.045961294,1.0
480000,0.90688396,596.0,0.07823442,0.82158583,0.07688843158002083,0.07688843158002083,3.763919883264372,0.005438927,0.06881452,0.00028603323,0.1953444,0.009534906,0.032204352,0.036679875,1.0
510000,0.93776286,440.4230769230769,0.08567139,0.8298374,0.2901845916819114,0.2901845916819114,3.005165490057642,0.005451315,0.06830393,0.00028512944,0.19504316,0.009504809,0.030084964,0.039713837,1.0
540000,0.8707755,567.1388888888889,0.08422399,0.8245746,0.0479098284538363,0.0479098284538363,3.7391333572113967,0.010866597,0.069096245,0.00028423435,0.1947448,0.009475005,0.03845469,0.04752912,1.0
570000,0.8315716,445.671875,0.13863711,0.94955665,0.3572122844365927,0.3572122844365927,3.2205102861500703,0.006579894,0.07158462,0.00028333138,0.1944438,0.009444934,0.033765618,0.03954359,1.0
600000,0.80928046,510.52830188679246,0.102333054,1.0634648,0.1685056358856975,0.1685056358856975,6.775363473397381,0.59698635,0.06751327,0.00028243123,0.19414376,0.009414961,0.041501194,0.038383458,1.0
630000,0.9084613,464.5625,-0.0035996565,0.77799076,0.26964372454676777,0.26964372454676777,9.321596113266423,1.6465018,0.07039703,0.00028154536,0.19384846,0.009385459,0.07139102,0.06990084,1.0
660000,0.9470711,520.2666666666667,0.06671233,1.0196972,0.1628833090265592,0.1628833090265592,5.755892696852485,0.031554215,0.06929313,0.00028064748,0.19354914,0.009355561,0.033956733,0.044744108,1.0
690000,0.8597981,689.2285714285714,0.030422304,1.0183429,-0.11804003545216152,-0.11804003545216152,7.304774732142687,0.025591517,0.070707835,0.0002797465,0.19324884,0.009325557,0.035213277,0.045250494,1.0
720000,0.9509668,681.9629629629629,-0.00926103,0.89186966,-0.12670003291633394,-0.12670003291633394,5.614261706187217,0.06683684,0.07320623,0.00027884013,0.19294669,0.009295376,0.038994264,0.04434089,1.0
750000,0.9507016,550.1272727272727,0.10706428,0.8948224,0.14058906652710654,0.14058906652710654,5.079816054891456,0.9847689,0.06990936,0.00027793355,0.19264452,0.009265186,0.04604799,0.04699037,1.0
780000,0.9972601,475.531914893617,0.056917284,0.92080396,0.33285103991944737,0.33285103991944737,6.6492199888254735,0.0142072085,0.06634261,0.00027703677,0.1923456,0.009235323,0.03562651,0.054632608,1.0
810000,0.8848233,510.49411764705883,0.1377206,0.83359176,0.19752140609281404,0.19752140609281404,3.765309536865624,0.01094511,0.06912253,0.0002761472,0.19204907,0.009205701,0.03899772,0.036855556,1.0
840000,0.96066654,548.8157894736842,0.051505074,0.96098894,0.054794844335470445,0.054794844335470445,3.9163037760433954,0.006963357,0.06528995,0.0002752605,0.19175349,0.009176172,0.036561098,0.043073393,1.0
870000,1.0016873,703.7631578947369,0.020434046,0.84166855,-0.12508424430301315,-0.12508424430301315,6.292674525199752,0.015710222,0.070204966,0.0002743687,0.19145624,0.009146476,0.028132992,0.040500376,1.0
900000,0.86676675,486.9240506329114,0.08164598,0.8105588,0.2582512577183736,0.2582512577183736,3.5271040375899667,0.019939426,0.06815301,0.00027347673,0.19115889,0.0091167735,0.037317287,0.039809942,1.0
930000,0.9134936,484.98148148148147,0.11434905,0.8506565,0.27602906904437324,0.27602906904437324,3.18178046816452,0.006945216,0.07190264,0.00027254925,0.19084975,0.009085889,0.032802593,0.036810882,1.0
960000,0.9650901,590.8888888888889,0.02492406,0.9591121,0.058871399433839885,0.058871399433839885,6.23997606729002,0.12319776,0.06861492,0.0002716215,0.19054048,0.009054995,0.04300607,0.06629031,1.0
990000,0.997245,580.5,0.08077258,0.9812507,0.014196890134077806,0.014196890134077806,6.892961787145872,0.10402942,0.07198737,0.0002707288,0.19024293,0.009025269,0.048537977,0.050503075,1.0
1020000,1.0320618,498.6666666666667,0.08785771,0.996094,0.23929521317283312,0.23929521317283312,4.0876476516326266,0.011536385,0.07152249,0.00026985497,0.18995164,0.00899617,0.037262544,0.054098185,1.0
1050000,0.92672247,561.3333333333334,0.08936021,0.8924857,0.10515730291604995,0.10515730291604995,4.916648788228631,0.016935311,0.069775,0.00026895278,0.18965092,0.008966125,0.03606508,0.05416824,1.0
1080000,0.8807017,417.45,0.1242356,0.94472086,0.33241331155101456,0.33241331155101456,3.1528719370020553,0.04439206,0.07322841,0.00026802495,0.18934165,0.00893523,0.03967124,0.046101443,1.0
1110000,0.9094544,510.62745098039215,0.09754652,1.1478766,0.2404319752752781,0.2404319752752781,5.832482806779444,0.2057751,0.06988566,0.0002671271,0.18904234,0.008905331,0.036224235,0.060992938,1.0
1140000,0.92782456,563.0,0.1106774,1.0045614,0.2102030982496217,0.2102030982496217,6.8716715890332125,0.46730927,0.06384055,0.0002662242,0.18874142,0.008875266,0.05166028,0.06586612,1.0
1170000,0.9604722,434.984375,0.11006314,1.1555976,0.31487185263540596,0.31487185263540596,5.969496622972656,0.04817531,0.071102664,0.0002653291,0.18844303,0.008845458,0.038475342,0.052589793,1.0
1200000,0.94233346,503.64516129032256,0.12761897,1.0590547,0.2381322304567983,0.2381322304567983,5.200528506843012,0.029871393,0.071866,0.00026443443,0.1881448,0.008815666,0.04786613,0.05179557,1.0
1230000,0.97182405,486.2413793103448,0.10920291,0.9817651,0.2722482520701556,0.2722482520701556,4.369282154109458,0.05211991,0.06843834,0.0002635368,0.18784557,0.008785774,0.04085624,0.060814835,1.0
1260000,0.94592947,461.8412698412698,0.11670145,1.0838038,0.2724838474344823,0.2724838474344823,4.491760375293633,0.011876983,0.08535604,0.0002626494,0.1875498,0.008756224,0.040533215,0.051476814,1.0
1290000,0.941199,467.0153846153846,0.17031603,1.1924103,0.267203006441846,0.267203006441846,3.987227835561939,0.01439187,0.068759784,0.00026175828,0.18725275,0.008726549,0.04205252,0.054252658,1.0
1320000,0.9546861,632.7307692307693,0.049847204,1.0103055,-0.07526156764764053,-0.07526156764764053,5.290006288040716,0.02719332,0.07093038,0.0002608484,0.18694946,0.008696252,0.033709086,0.033788826,1.0
1350000,0.9453442,469.4074074074074,0.11063398,1.0957062,0.23411108994925464,0.23411108994925464,4.602972660843214,0.10376973,0.06685767,0.0002599502,0.18665007,0.00866634,0.04119571,0.055692267,1.0
1380000,0.9247324,518.4821428571429,0.08962137,1.0087386,0.21355354599654675,0.21355354599654675,6.2346680603015034,0.010942924,0.068145685,0.00025904475,0.18634823,0.00863619,0.039290655,0.041911125,1.0
1410000,0.96897984,525.6,0.15138245,0.915415,0.17424997476239998,0.17424997476239998,3.825506721623242,0.0058790543,0.06534798,0.00025814754,0.18604918,0.008606311,0.03467792,0.049925957,1.0
1440000,1.0554299,595.578947368421,0.03563699,0.8707541,-0.016878974476927204,-0.016878974476927204,3.8327646301078953,0.005988641,0.068760626,0.00025724724,0.18574908,0.008576333,0.031594828,0.045800976,1.0
1470000,0.9490494,580.3058823529411,0.0902222,0.90718836,0.05478585301076665,0.05478585301076665,4.387161725025405,0.012525024,0.07125516,0.00025635312,0.18545103,0.008546558,0.042506356,0.0395738,1.0
1500000,1.0419501,313.2926829268293,0.09138346,1.088102,0.564692670252265,0.564692670252265,2.573382449313635,0.007357633,0.069143035,0.00025545724,0.18515244,0.008516724,0.04047934,0.04254691,1.0
1530000,1.0228231,593.0172413793103,0.056957293,0.9876812,0.07922410990657477,0.07922410990657477,4.654783840098514,0.012928217,0.07071796,0.00025457187,0.18485728,0.008487242,0.034735695,0.04582522,1.0
1560000,0.91123694,482.6666666666667,0.16283844,1.0284207,0.253299974422488,0.253299974422488,4.089825563029283,0.012604412,0.06801576,0.0002536582,0.18455271,0.008456817,0.05302961,0.03550468,1.0
1590000,0.8742753,496.37735849056605,0.09667376,0.97757864,0.25820374924619244,0.25820374924619244,4.123622998068074,0.009071001,0.07300787,0.00025273507,0.18424502,0.008426079,0.036744647,0.036983807,1.0
1620000,0.9244292,471.70588235294116,0.12949188,0.9534661,0.2781852723701912,0.2781852723701912,3.9622403979027534,0.0079997275,0.06648716,0.00025184636,0.18394879,0.008396483,0.038870603,0.036142886,1.0
1650000,0.91505134,498.43636363636364,0.0994249,0.9507511,0.24682542790066112,0.24682542790066112,3.608232486569746,0.0071160267,0.07062678,0.00025094434,0.18364811,0.008366445,0.042160384,0.049331713,1.0
1680000,0.87930185,475.7230769230769,0.1268039,0.9598844,0.2164369019178244,0.2164369019178244,3.8401256292485275,0.00849449,0.07220318,0.00025003223,0.18334405,0.008336073,0.043774966,0.045041017,1.0
1710000,0.8261653,419.89473684210526,0.1667811,1.1788616,0.4352947143151572,0.4352947143151572,3.6357258921305307,0.07590368,0.071308725,0.00024914023,0.18304673,0.008306368,0.04720373,0.053684957,1.0
1740000,0.74982566,397.2133333333333,0.2118426,1.0190129,0.4426853134234746,0.4426853134234746,5.627513772087792,0.07105346,0.06908925,0.00024824307,0.18274768,0.008276493,0.03854897,0.064505726,1.0
1770000,0.9021161,558.9166666666666,0.104201086,0.8573369,0.14925413858145475,0.14925413858145475,3.7828112741699442,0.005275793,0.06973759,0.00024733046,0.18244347,0.008246103,0.034325335,0.05713349,1.0
1800000,0.98745096,506.5072463768116,0.14880405,0.860501,0.33859409304226146,0.33859409304226146,3.7060832870329783,0.008248247,0.067049794,0.00024642984,0.18214326,0.008216112,0.0376679,0.061596576,1.0
1830000,0.98401034,435.93220338983053,0.15698844,1.048134,0.3215599786490202,0.3215599786490202,3.037139144175065,0.0086932415,0.07124948,0.00024553176,0.18184392,0.008186206,0.038735766,0.040984888,1.0
1860000,0.896679,438.87692307692305,0.13290776,1.1837028,0.3610030508958376,0.3610030508958376,4.424996068873084,0.029418277,0.06678636,0.0002446436,0.18154785,0.008156629,0.043620855,0.05633094,1.0
1890000,0.83080167,435.85526315789474,0.1633513,0.9284923,0.3140157677821423,0.3140157677821423,3.787657426523143,0.01184979,0.07023149,0.00024375322,0.18125106,0.00812698,0.047705967,0.06597406,1.0
1920000,0.9313593,455.1607142857143,0.102109656,0.8666228,0.33047497352319105,0.33047497352319105,3.333172980779117,0.0073091644,0.0709457,0.00024285955,0.18095316,0.008097221,0.036865138,0.057514362,1.0
1950000,0.86519927,569.0,0.12636635,0.8572719,0.11262724435690677,0.11262724435690677,4.2991881585030844,0.007986754,0.06944948,0.00024196203,0.180654,0.008067333,0.03479047,0.042443212,1.0
1980000,0.862439,454.70588235294116,0.087233126,0.8878342,0.34910978186948627,0.34910978186948627,3.8168765050815603,0.025536163,0.0721106,0.0002410691,0.18035635,0.008037599,0.03907442,0.043312676,1.0
2010000,0.8700539,427.1276595744681,0.21077272,0.92833805,0.391931895562943,0.391931895562943,3.9882393520563206,0.10108723,0.069411136,0.00024017913,0.1800597,0.008007963,0.043484237,0.051291563,1.0
2040000,0.8345811,348.4727272727273,0.15539046,0.94900364,0.5423745275898413,0.5423745275898413,2.640413744070313,0.007271034,0.06650323,0.00023928308,0.17976102,0.007978125,0.036095146,0.050177444,1.0
2070000,0.86780137,582.3333333333334,0.074191704,1.0458622,0.08755269795656204,0.08755269795656204,4.299284043789587,0.07993115,0.06795726,0.00023834941,0.17944978,0.007947033,0.040087793,0.05403971,1.0
2100000,0.9384682,491.7313432835821,0.10058012,0.90996367,0.21773910889590997,0.21773910889590997,6.723303351659274,0.07396475,0.07134786,0.00023742065,0.17914021,0.007916105,0.043788027,0.054351423,1.0
2130000,0.93718994,325.0845070422535,0.1327878,1.0609524,0.5480873098885509,0.5480873098885509,2.8079266097252322,0.023445586,0.069550715,0.00023652228,0.17884073,0.00788619,0.0399789,0.04507453,1.0
2160000,0.8628946,574.5438596491229,0.025417516,1.2342999,0.05398211468543325,0.05398211468543325,4.69034927278491,0.021538924,0.0724682,0.00023562531,0.17854178,0.0078563215,0.03946844,0.061569788,1.0
2190000,0.937304,536.9272727272727,0.10480439,1.1654989,0.10133212019822427,0.10133212019822427,6.73741239750026,0.071234085,0.07004938,0.00023475778,0.17825255,0.007827431,0.046377517,0.06551126,1.0
2220000,1.0120198,445.0,0.12620053,0.9857864,0.3113887089658791,0.3113887089658791,3.717797524013727,0.01689846,0.07110575,0.00023385184,0.17795059,0.007797264,0.04228139,0.061313026,1.0
2250000,1.046391,506.1311475409836,0.10930972,0.9744743,0.22839997892008454,0.22839997892008454,3.898057655843555,0.0075603207,0.072228916,0.00023293689,0.17764564,0.007766798,0.038461737,0.05225051,1.0
