Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,0.0035779837,0.3696993,3.5722093e-07,0.06908506,0.00029866368,0.19955456,0.0099555,4999.0,0.20627273433968762,0.20627273433968762,1.0
90000,0.0046599056,0.329966,5.342343e-07,0.0698595,0.00029773923,0.1992464,0.009924714,None,0.2220000068191439,0.2220000068191439,1.0
120000,0.0033043588,0.3641711,2.6639125e-07,0.068270005,0.0002968176,0.19893919,0.0098940255,4999.0,0.18654546114108103,0.18654546114108103,1.0
150000,0.0045135384,0.3770791,4.2700174e-07,0.07212971,0.00029593921,0.19864641,0.009864775,None,0.17000000562984496,0.17000000562984496,1.0
180000,0.00303748,0.44891578,2.4254953e-07,0.072748244,0.00029506366,0.19835456,0.00983562,4999.0,0.18563637015706097,0.18563637015706097,1.0
210000,0.0037850328,0.44908938,4.2809674e-07,0.067402564,0.0002941392,0.1980464,0.009804835,None,0.21600000583566725,0.21600000583566725,1.0
240000,0.0030336813,0.5157344,3.2996368e-07,0.0709842,0.00029321766,0.19773921,0.009774146,4999.0,0.18372727844821798,0.18372727844821798,1.0
270000,0.004434252,0.4093053,5.180787e-07,0.06992969,0.00029233922,0.1974464,0.009744895,None,0.23100000631529838,0.23100000631529838,1.0
300000,0.003714347,0.5385507,3.0037046e-07,0.069871195,0.0002914637,0.19715455,0.009715741,4999.0,0.1790909148244695,0.1790909148244695,1.0
330000,0.0043706247,0.33880246,4.7785994e-07,0.07201103,0.0002905392,0.1968464,0.009684955,None,0.23400001076515764,0.23400001076515764,1.0
360000,0.003659226,0.38052005,4.232361e-07,0.07202892,0.00028961763,0.1965392,0.009654266,4999.0,0.22136364329013636,0.22136364329013636,1.0
390000,0.0051409965,0.35727844,5.175136e-07,0.07165696,0.00028873922,0.1962464,0.009625015,None,0.2350000055739656,0.2350000055739656,1.0
420000,0.004296654,0.29587704,3.8050672e-07,0.06846254,0.00028786372,0.19595456,0.009595861,4999.0,0.20518182539804417,0.20518182539804417,1.0
450000,0.0042029796,0.32272643,4.4917655e-07,0.06856412,0.0002869392,0.1956464,0.009565075,None,0.25000000768341124,0.25000000768341124,1.0
480000,0.0034314846,0.2922332,3.6102804e-07,0.06874788,0.0002860176,0.1953392,0.009534386,4999.0,0.20263636954636735,0.20263636954636735,1.0
510000,0.005552088,0.384318,4.704529e-07,0.06835387,0.0002851392,0.19504641,0.009505134,None,0.030000000726431608,0.030000000726431608,1.0
540000,0.0032082326,0.41214433,2.5478988e-07,0.06887989,0.0002842637,0.19475457,0.009475979,4999.0,0.18672727878120812,0.18672727878120812,1.0
570000,0.0039801393,0.3897067,4.279177e-07,0.06732945,0.0002833392,0.1944464,0.009445195,None,0.09900000435300171,0.09900000435300171,1.0
