Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.61533934,114.05357142857143,0.3322498,1.0910337,0.8859464202874473,0.8859464202874473,0.9574856702363052,0.008480902,0.07364045,0.00029953755,0.19984585,0.009984599,0.03952122,0.059961442,1.0
60000,0.723636,290.48,0.16977508,1.4002985,0.7095199847221374,0.7095199847221374,2.8155913581699132,0.29104486,0.07445631,0.0002986561,0.19955204,0.009955248,0.045315642,0.06574769,1.0
90000,0.8670025,431.4173913043478,0.24540891,1.4750472,0.3074886752859406,0.3074886752859406,10.640831799959034,0.4391265,0.0670614,0.00029774167,0.19924721,0.009924797,0.064929016,0.092492454,1.0
120000,0.79919195,298.8024691358025,0.23676923,1.2360222,0.6517950473008333,0.6517950473008333,3.4609530003796,0.019846935,0.06739225,0.00029683622,0.19894542,0.009894646,0.050311152,0.08570504,1.0
150000,0.82703495,295.31868131868134,0.2583726,1.3301493,0.6386900935526733,0.6386900935526733,3.5761115861299273,0.022587378,0.06771359,0.00029596206,0.19865401,0.009865536,0.054339666,0.067454904,1.0
180000,0.8953381,359.5189873417722,0.19959599,1.4244235,0.55183288992583,0.55183288992583,5.047317740130179,0.058927238,0.06624664,0.00029508138,0.19836044,0.00983621,0.05964568,0.0949568,1.0
210000,0.8963826,414.9294117647059,0.20021527,1.360814,0.43737854932745296,0.43737854932745296,4.668832937599204,0.020044172,0.07029597,0.0002941534,0.19805114,0.009805309,0.054425873,0.078048825,1.0
240000,0.88100326,344.8732394366197,0.17122878,1.3003623,0.5762999816280272,0.5762999816280272,3.8850761582531654,1.9261034,0.070762224,0.00029322508,0.1977417,0.009774394,0.16660455,0.07780372,1.0
270000,1.045412,464.94736842105266,-0.083340675,0.56471944,0.359512257994267,0.359512257994267,10.134066654728693,11.8311405,0.07081804,0.0002923242,0.19744138,0.009744396,0.099322654,0.07967075,1.0
300000,0.96563196,571.7096774193549,0.076085225,1.2291288,0.07654423327719578,0.07654423327719578,15.689685986056679,0.028322345,0.067672096,0.00029142326,0.1971411,0.009714393,0.051255073,0.075933985,1.0
330000,1.0451672,487.7358490566038,0.11978753,1.2069423,0.24101109471586016,0.24101109471586016,5.104497452059554,0.016308863,0.073636346,0.0002905289,0.19684298,0.009684612,0.04731864,0.093995355,1.0
360000,1.0165426,454.9718309859155,0.14499944,1.1983218,0.3195605388199779,0.3195605388199779,4.638502714152015,0.013557933,0.0701384,0.00028963335,0.19654444,0.009654789,0.053398184,0.089113906,1.0
390000,1.0053865,422.6212121212121,0.17045951,1.2004869,0.3651605871590701,0.3651605871590701,4.564876705746759,0.011354626,0.069854744,0.00028873878,0.19624625,0.009625,0.05209554,0.07855036,1.0
420000,1.0631778,455.3076923076923,0.17211887,1.301202,0.3186531038954854,0.3186531038954854,4.7056944066425785,0.013884972,0.06753465,0.0002878468,0.19594893,0.009595296,0.052583925,0.08705113,1.0
450000,1.0360441,430.2564102564103,0.17068247,1.3340831,0.321906309621998,0.321906309621998,4.62549370692312,0.011426128,0.069854744,0.00028694747,0.19564916,0.009565349,0.060026836,0.09583451,1.0
480000,0.986106,349.24675324675326,0.15845293,1.4348949,0.5208181637254629,0.5208181637254629,4.153478184110158,0.030070344,0.067407414,0.0002860426,0.19534753,0.009535218,0.058146317,0.0882949,1.0
510000,1.0294408,397.6835443037975,0.19354223,1.5309817,0.43764554822369467,0.43764554822369467,6.202759850251524,0.10724408,0.06843335,0.0002851412,0.19504707,0.009505202,0.06275628,0.08264701,1.0
540000,1.0754919,374.0121951219512,0.18332548,1.549138,0.43074876169969395,0.43074876169969395,4.777537643568727,0.020408483,0.06686804,0.00028424305,0.19474769,0.009475292,0.05686022,0.0911179,1.0
570000,1.0351605,402.1264367816092,0.20007035,1.4273804,0.4368551515642254,0.4368551515642254,4.590967234759324,0.021301271,0.07309503,0.00028335003,0.19445002,0.0094455555,0.06111486,0.09247072,1.0
