Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
101820000,0.40316272,0.0,67.09756097560975,0.19300658,0.17986865,0.9329024331598748,0.9329024331598748,0.01966292149864319,0.0069122417,0.07962684,4.9091006e-05,0.14909095,0.004914187,0.008608184,0.020494035,1.0
101850000,0.8055484,0.0,189.46153846153845,0.18146099,0.16721691,0.8105384526344446,0.8105384526344446,0.1992901551644676,0.00298192,0.06869231,4.90821e-05,0.14908205,0.0049132975,0.0051249736,0.011906207,1.0
101880000,0.737835,0.0,428.52127659574467,0.17485152,0.1680939,0.27339146777670437,0.27339146777670437,0.5033719092149268,0.0025381034,0.06654872,4.9067152e-05,0.1490671,0.0049118036,0.004891732,0.013142773,1.0
101910000,0.7638894,0.0,231.94623655913978,0.264378,0.2232635,0.6712171916038759,0.6712171916038759,0.33301050626041906,0.002291503,0.068126775,4.905243e-05,0.14905238,0.0049103326,0.00546513,0.014941256,1.0
101940000,0.8100742,0.0,364.2068965517241,0.2152305,0.23242362,0.40576090072763377,0.40576090072763377,0.475036072063035,0.0019810623,0.06889529,4.903734e-05,0.14903732,0.0049088253,0.005773341,0.018460022,1.0
101970000,0.8256706,0.0,372.43055555555554,0.19901253,0.23763022,0.3774360931581921,0.3774360931581921,0.5063407230578983,0.0017008052,0.06915854,4.90225e-05,0.14902245,0.004907343,0.0059958547,0.015299042,1.0
102000000,0.7112304,0.0,355.1111111111111,0.23478547,0.24922197,0.37667957085127735,0.37667957085127735,0.5339152824908153,0.001894194,0.070785455,4.9007638e-05,0.14900759,0.004905858,0.005353242,0.011597445,1.0
102030000,0.7350314,0.0,246.55172413793105,0.33909494,0.30590746,0.6148913641428125,0.6148913641428125,0.314779710570543,0.0021815165,0.07145252,4.8992806e-05,0.14899276,0.004904377,0.005676683,0.012450448,1.0
102060000,0.69863147,0.0,305.11578947368423,0.32640254,0.3010541,0.5405705084926203,0.5405705084926203,0.3981759749549,0.0022087626,0.06778741,4.897794e-05,0.14897789,0.004902892,0.0052995547,0.015261742,1.0
102090000,0.61659014,0.0,307.07142857142856,0.3004357,0.25469577,0.5114553404439773,0.5114553404439773,0.37980171437292093,0.0020501418,0.06777025,4.89625e-05,0.14896247,0.004901349,0.004867672,0.0071509536,1.0
