Steps,Policy/Entropy,Environment/Lesson/AdvancedPathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
30000,0.89622813,0.0,133.32089552238807,0.21913542,0.37130517,0.9330872953056343,0.9330872953056343,0.3552667022431417,0.0068042064,0.42975694,0.00029952498,0.19984165,0.009984181,0.01642683,0.033126622,1.0
60000,0.8168697,0.0,187.34831460674158,0.47494268,0.51357967,0.867860549978084,0.867860549978084,0.6688114072299666,0.008117404,0.4470891,0.00029865114,0.19955036,0.009955083,0.025086263,0.021431712,1.0
90000,0.9203029,0.0,231.77941176470588,0.37549976,0.5901718,0.8304338288262374,0.8304338288262374,1.5575352358470733,0.01766118,0.45727003,0.0002977545,0.1992515,0.009925223,0.029512303,0.05545602,1.0
120000,0.8444184,0.0,176.90243902439025,0.41728187,0.3924286,0.8890069707968208,0.8890069707968208,0.5321392329019863,0.0032695697,0.45791858,0.00029685107,0.19895037,0.00989514,0.014032863,0.009423442,1.0
150000,0.7914972,0.0,151.85096153846155,0.46397585,0.4215767,0.9095751167070575,0.9095751167070575,0.41845307647954766,0.002767938,0.4489102,0.000295971,0.19865698,0.0098658325,0.014169393,0.013043335,1.0
180000,0.9714756,0.0,283.09574468085106,0.31756726,0.52293473,0.8073757828850495,0.8073757828850495,1.0412988167574728,0.0025882397,0.38009506,0.00029507888,0.19835962,0.009836127,0.01825348,0.023049096,1.0
210000,1.0399791,0.0,285.6,0.21950476,0.49941525,0.8058389925956726,0.8058389925956726,1.088370670808945,0.0032304756,0.42517516,0.0002941692,0.19805641,0.009805836,0.018082455,0.021376565,1.0
240000,1.0908252,0.0,371.84285714285716,0.13475364,0.67860013,0.7202833250371946,0.7202833250371946,4.914277988227291,0.47826722,0.4072544,0.0002932634,0.19775446,0.00977567,0.10647081,0.07071839,1.0
270000,0.95576,0.0,280.84375,0.2898335,0.5838506,0.8001322507137253,0.8001322507137253,1.2630636569548157,0.0038807967,0.4165393,0.00029236032,0.19745342,0.009745598,0.018421693,0.024871698,1.0
300000,0.91310275,0.0,204.85915492957747,0.3483567,0.596895,0.8823340379811347,0.8823340379811347,0.7472834948133281,0.0032161751,0.4257855,0.00029143592,0.19714531,0.009714815,0.018667696,0.036036167,1.0
