Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
840000,0.53369206,0.0025091814,2.595558e-07,0.07012952,0.0002752176,0.1917392,0.009174746,4999.0,0.1491818219867789,0.1491818219867789,1.0
870000,0.4411073,0.004243762,5.061148e-07,0.07453529,0.00027433923,0.19144641,0.009145495,None,0.13400000531692058,0.13400000531692058,1.0
900000,0.5036106,0.003855855,3.810657e-07,0.06995317,0.0002734637,0.19115455,0.0091163395,4999.0,0.20036364177411253,0.20036364177411253,1.0
930000,0.44248304,0.0051550153,5.167528e-07,0.0703731,0.00027253924,0.19084641,0.009085556,None,0.19100000523030758,0.19100000523030758,1.0
960000,0.53933865,0.0038727021,3.2688624e-07,0.06764,0.0002716176,0.19053921,0.009054866,4999.0,0.19527273268481207,0.19527273268481207,1.0
990000,0.3447362,0.004392631,4.733942e-07,0.06742619,0.00027073923,0.1902464,0.009025615,None,0.24400000472087413,0.24400000472087413,1.0
1020000,0.31542918,0.003690437,3.249928e-07,0.066771075,0.0002698637,0.18995455,0.00899646,4999.0,0.17818182303612543,0.17818182303612543,1.0
1050000,0.5050366,0.004117651,4.0216256e-07,0.071633235,0.00026893924,0.1896464,0.008965676,None,0.16000000515487045,0.16000000515487045,1.0
1080000,0.7612787,0.0025883256,3.0273003e-07,0.070731655,0.00026801764,0.18933919,0.008934986,4999.0,0.15981818588492883,0.15981818588492883,1.0
1110000,0.34877887,0.004690983,5.754226e-07,0.06598421,0.00026713923,0.1890464,0.008905735,None,0.1060000027064234,0.1060000027064234,1.0
1140000,0.3056082,0.003604417,3.868094e-07,0.06882535,0.0002662637,0.18875456,0.00887658,4999.0,0.20918182330206037,0.20918182330206037,1.0
1170000,0.50847673,0.0039790636,4.880597e-07,0.07248143,0.00026533921,0.1884464,0.008845795,None,0.19800000626128167,0.19800000626128167,1.0
1200000,0.47073346,0.0033273625,4.268154e-07,0.06506838,0.0002644176,0.1881392,0.008815106,4999.0,0.17027273113754662,0.17027273113754662,1.0
1230000,0.39095426,0.0035024593,4.3830187e-07,0.0686732,0.00026353923,0.18784639,0.008785855,None,0.21700000413693488,0.21700000413693488,1.0
1260000,0.4583516,0.0026299618,3.708529e-07,0.070450746,0.00026266373,0.18755457,0.0087567,4999.0,0.15854545844591816,0.15854545844591816,1.0
1290000,0.373562,0.004684143,5.039077e-07,0.0667104,0.00026173922,0.18724641,0.008725916,None,0.23200000764336437,0.23200000764336437,1.0
1320000,0.42555597,0.004197703,4.0955342e-07,0.062444963,0.00026081764,0.18693921,0.008695225,4999.0,0.21309091461907056,0.21309091461907056,1.0
1350000,0.33856684,0.0052220295,4.8292327e-07,0.069193535,0.00025993923,0.1866464,0.008665975,None,0.24000000895466655,0.24000000895466655,1.0
1380000,0.43669382,0.0043094866,3.3809556e-07,0.07108292,0.00025906373,0.18635455,0.00863682,4999.0,0.20345454933968457,0.20345454933968457,1.0
1410000,0.44629988,0.004672189,4.828168e-07,0.06898351,0.00025813922,0.18604639,0.008606034,None,0.23300000873859972,0.23300000873859972,1.0
1440000,0.43769026,0.004323139,4.601086e-07,0.06830992,0.00025721765,0.1857392,0.008575345,4999.0,0.21536364121658896,0.21536364121658896,1.0
1470000,0.40055546,0.0044676485,4.5173476e-07,0.06771663,0.0002563392,0.1854464,0.008546095,None,0.26400000508874655,0.26400000508874655,1.0
1500000,0.37812614,0.0035403713,3.6504687e-07,0.06781908,0.0002554637,0.18515456,0.00851694,4999.0,0.15909091275270013,0.15909091275270013,1.0
1530000,0.3499735,0.0044057923,4.9623674e-07,0.07250449,0.00025453922,0.1848464,0.008486155,None,0.15500000480096787,0.15500000480096787,1.0
1560000,0.39634916,0.0030642168,3.3781095e-07,0.06953774,0.00025361762,0.1845392,0.008455466,4999.0,0.18209091410972178,0.18209091410972178,1.0
