Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,0.31060377,0.004268949,4.3389986e-07,0.06807366,0.00029866368,0.19955456,0.0099555,4999.0,0.1993636419488625,0.1993636419488625,1.0
90000,0.30398238,0.004287066,5.0545196e-07,0.06807117,0.00029773923,0.1992464,0.009924714,None,0.2560000071534887,0.2560000071534887,1.0
120000,0.50827867,0.0027195255,2.5580343e-07,0.067625895,0.0002968176,0.19893919,0.0098940255,4999.0,0.17272727835965765,0.17272727835965765,1.0
150000,0.35860795,0.004108026,4.848334e-07,0.06585688,0.00029593921,0.19864641,0.009864775,None,0.1380000056233257,0.1380000056233257,1.0
180000,0.35126516,0.0043161507,3.704906e-07,0.07040541,0.00029506366,0.19835456,0.00983562,4999.0,0.2014545517423275,0.2014545517423275,1.0
210000,0.39007205,0.004205279,4.639281e-07,0.06887992,0.0002941392,0.1980464,0.009804835,None,0.21800000627990812,0.21800000627990812,1.0
240000,0.3615688,0.0044808183,4.060149e-07,0.070090905,0.00029321766,0.19773921,0.009774146,4999.0,0.1935454604258253,0.1935454604258253,1.0
270000,0.29022586,0.005212905,4.6181697e-07,0.06937119,0.00029233922,0.1974464,0.009744895,None,0.190000006579794,0.190000006579794,1.0
300000,0.2886741,0.0041815806,3.635965e-07,0.0708817,0.0002914637,0.19715455,0.009715741,4999.0,0.1798181868877939,0.1798181868877939,1.0
330000,0.24136445,0.004344372,4.3294978e-07,0.067902856,0.0002905392,0.1968464,0.009684955,None,0.1440000059083104,0.1440000059083104,1.0
360000,0.30168176,0.0033208984,3.614882e-07,0.06820719,0.00028961763,0.1965392,0.009654266,4999.0,0.18145455124745655,0.18145455124745655,1.0
390000,0.3399466,0.0045074774,5.2930824e-07,0.06943157,0.00028873922,0.1962464,0.009625015,None,0.19300000742077827,0.19300000742077827,1.0
420000,0.41977254,0.0035355184,3.355004e-07,0.069264285,0.00028786372,0.19595456,0.009595861,4999.0,0.19909091527700762,0.19909091527700762,1.0
450000,0.4000533,0.0039132684,4.610528e-07,0.07187693,0.0002869392,0.1956464,0.009565075,None,0.1930000043939799,0.1930000043939799,1.0
480000,0.3990427,0.0031999592,3.484861e-07,0.06995256,0.0002860176,0.1953392,0.009534386,4999.0,0.18400000589264726,0.18400000589264726,1.0
510000,0.37381968,0.0043601654,4.4726025e-07,0.06850411,0.0002851392,0.19504641,0.009505134,None,0.06000000180210918,0.06000000180210918,1.0
540000,0.41628575,0.0040497137,4.0393206e-07,0.07166728,0.0002842637,0.19475457,0.009475979,4999.0,0.19263636908197607,0.19263636908197607,1.0
570000,0.33642146,0.0046122093,5.128391e-07,0.07238272,0.0002833392,0.1944464,0.009445195,None,0.2390000040177256,0.2390000040177256,1.0
600000,0.32671693,0.003799263,3.895988e-07,0.06745353,0.0002824176,0.19413921,0.009414506,4999.0,0.1882727324369956,0.1882727324369956,1.0
630000,0.38309395,0.0047585964,4.472266e-07,0.067272425,0.0002815392,0.1938464,0.009385254,None,0.24800000910181552,0.24800000910181552,1.0
660000,0.33555564,0.003541436,3.7254713e-07,0.07205559,0.0002806637,0.19355457,0.009356101,4999.0,0.19818182264200665,0.19818182264200665,1.0
690000,0.3883958,0.005113922,5.1948723e-07,0.06993097,0.0002797392,0.1932464,0.009325315,None,0.16700000513810664,0.16700000513810664,1.0
720000,0.38704515,0.0037263597,3.8307985e-07,0.06776051,0.0002788176,0.1929392,0.009294625,4999.0,0.19863636928229508,0.19863636928229508,1.0
750000,0.39929807,0.0046074754,4.453889e-07,0.06782779,0.00027793922,0.1926464,0.009265374,None,0.24600000772625208,0.24600000772625208,1.0
780000,0.39698812,0.0027119846,2.674946e-07,0.06792245,0.0002770637,0.19235456,0.009236219,4999.0,0.15027273111892017,0.15027273111892017,1.0
810000,0.42034853,0.0038951437,4.0695022e-07,0.06868072,0.00027613918,0.19204639,0.009205435,None,0.21000000275671482,0.21000000275671482,1.0
